DATE;SP500;NASDAQ,AAPL;NASDAQ,AMZN;NASDAQ,GOOGL
1491233400;2351,96;143,6;889,17;850,61
1491233460;2351,3501;143,634;889,8;851,1175
1491233520;2351,02;143,58;889,08;850,72
1491233580;2351,1201;143,6;888,96;851,23
1491233640;2350,3601;143,62;889,04;850,96
1491233700;2350,03;143,585;888,68;850,87
1491233760;2350,48;143,525;888,52;850,5
1491233820;2350,1001;143,51;889,08;850,74
1491233880;2351,03;143,54;888,945;850,96
1491233940;2350,6499;143,57;889,31;851,05
1491234000;2350,8201;143,56;888,86;850,94
1491234060;2351,01;143,6;889,11;851,07
1491234120;2350,98;143,6343;889,1292;851,11
1491234180;2350,73;143,64;889,5;851,28
1491234240;2350,73;143,585;889,4;851,07
1491234300;2350,6599;143,59;889,36;851,35
1491234360;2350,03;143,575;889,335;851,488
1491234420;2350,0801;143,5239;888,25;851,06
1491234480;2349,75;143,58;888,475;851,3925
1491234540;2348,5601;143,5;888,33;850,7175
1491234600;2348,45;143,49;888,25;850,5
1491234660;2349,05;143,475;888,64;850,97
1491234720;2349,21;143,47;887,99;850,93
1491234780;2348,1399;143,43;888,02;850,745
1491234840;2348,45;143,35;887,4203;850,31
1491234900;2348,01;143,3301;887,5799;850,24
1491234960;2348,1299;143,33;887,6112;850,13
1491235020;2349,23;143,33;887,68;850,04
1491235080;2349,1101;143,44;888,19;850,34
1491235140;2348,5801;143,39;888,3;850,33
1491235200;2348,1001;143,385;887,75;849,89
1491235260;2346,3899;143,3262;887,456;849,89
1491235320;2345,78;143,15;886,385;848,49
1491235380;2345,49;143,13;886,2528;848,8
1491235440;2346,0901;143,21;886,32;848,6266
1491235500;2346,28;143,18;886,72;848,965
1491235560;2345,95;143,2;887,29;848,98
1491235620;2345,9099;143,12;886,8;849,13
1491235680;2347,05;143,14;886,8143;849,09
1491235740;2347,1399;143,255;887,171;849,1988
1491235800;2347,71;143,25;886,81;849
1491235860;2348,1599;143,2312;887,25;849,31
1491235920;2347,7;143,3129;887,4586;849,77
1491235980;2347,54;143,31;887,154;849,59
1491236040;2347,26;143,26;886,5;849,27
1491236100;2347,29;143,27;886,578;849,46
1491236160;2348,6799;143,23;886,426;849,3
1491236220;2349,4099;143,305;886,82;849,67
1491236280;2349,1399;143,425;887,55;849,82
1491236340;2349,0601;143,4;887,391;849,78
1491236400;2348,6799;143,37;887,6017;850,02
1491236460;2348,6499;143,4;887,4051;849,75
1491236520;2348,9399;143,405;887,3;849,71
1491236580;2349,3301;143,43;887,23;849,71
1491236640;2350,48;143,44;887,12;849,73
1491236700;2350,78;143,4995;887,67;850,02
1491236760;2351,1201;143,5063;887,644;849,81
1491236820;2351,0901;143,53;887,5;850,0039
1491236880;2351,1799;143,5335;887,79;850,08
1491236940;2352,24;143,5293;887,76;849,97
1491237000;2351,6299;143,54;887,97;850,57
1491237060;2352,01;143,51;887,661;850,45
1491237120;2351,49;143,52;887,75;850,58
1491237180;2351,3701;143,52;887,94;850,83
1491237240;2351,54;143,54;888,08;850,8
1491237300;2351,71;143,534;888,44;850,8
1491237360;2351,8201;143,5901;888,58;850,72
